uniq_id,sku,name_title,description,list_price,sale_price,category,category_tree,average_product_rating,product_url,product_image_urls,brand,total_number_reviews,Reviews
b6c0b6bea69c722939585baeac73c13d,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,alfred dunner,jcpenney|women|alfred dunner,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1002110079&&_dyncharset=UTF-8&urlState=/women/shop-brands/alfred-dunner/yellow/_/N-gkmp33Z132/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
93e5272c51d8cce02597e3ce67b7ad0a,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,alfred dunner,jcpenney|women|alfred dunner,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1002310017&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-brands/alfred-dunner/10-petite/_/N-gkqzcxZ1z1407s/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
4f6d3fcd5d7a7da811cca969e074db52,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,,,34.8143,outfits you'll love,jcpenney|women|outfits you'll love,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-feels-like-spring-short-sleeve-diamond-print-top-or-capris/prod.jump?ppId=ens6006720032&catId=cat1004040017&&_dyncharset=UTF-8&urlState=/women/shop-brands/alfred-dunner/outfits-you-ll-love/not-applicable/_/N-gls28hZ1z13vt1/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031270M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,7,"{""review""=>[{""review_1""=>""These capris are very comfortable, with just the right amount of spandex for stretch. I love the cute cuff on the bottom. I bought these for vacation to go with the Lime Green Sao Paolo top. Look very cute, and dressier than just a tee and jeans.\""Love me some Dunner !\""""}, {""review_2""=>""This top is so comfortable and flattering. I get compliments on how good I look wearing it!""}, {""review_3""=>""Comfortable and lightweight material for summer wear. Love the button accent.""}, {""review_4""=>""I was disappointed in the quality upon closer inspection at home.""}, {""review_5""=>""I love Alfred Dunner pants and capris. These have more room in the hip and thigh area than other brands. I can wear a size 10 instead of a 12 because of this.""}, {""review_6""=>""The color and pattern is so summery, and the shape flatters my figure.""}, {""review_7""=>""These Capris are so comfortable and fit great on me as I am a plus size. They are also nice enough to wear at my office.""}]}"
40a2c1b7e4da323970d7568fbbbf1797,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,,,34.8143,outfits you'll love,jcpenney|women|outfits you'll love,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-feels-like-spring-short-sleeve-diamond-print-top-or-capris/prod.jump?ppId=ens6006720032&catId=cat1004090020&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-brands/alfred-dunner/outfits-you-ll-love/small/_/N-glt4tgZb7/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031270M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,7,"{""review""=>[{""review_1""=>""These capris are very comfortable, with just the right amount of spandex for stretch. I love the cute cuff on the bottom. I bought these for vacation to go with the Lime Green Sao Paolo top. Look very cute, and dressier than just a tee and jeans.\""Love me some Dunner !\""""}, {""review_2""=>""This top is so comfortable and flattering. I get compliments on how good I look wearing it!""}, {""review_3""=>""Comfortable and lightweight material for summer wear. Love the button accent.""}, {""review_4""=>""I was disappointed in the quality upon closer inspection at home.""}, {""review_5""=>""I love Alfred Dunner pants and capris. These have more room in the hip and thigh area than other brands. I can wear a size 10 instead of a 12 because of this.""}, {""review_6""=>""The color and pattern is so summery, and the shape flatters my figure.""}, {""review_7""=>""These Capris are so comfortable and fit great on me as I am a plus size. They are also nice enough to wear at my office.""}]}"
8a6639a5bb4f164f41d4652d6ab8c70d,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,,,34.8143,view all,jcpenney|women|view all,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-feels-like-spring-short-sleeve-diamond-print-top-or-capris/prod.jump?ppId=ens6006720032&catId=cat1004110004&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-brands/alfred-dunner/view-all/10/_/N-gltk8kZ9b/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031270M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,7,"{""review""=>[{""review_1""=>""These capris are very comfortable, with just the right amount of spandex for stretch. I love the cute cuff on the bottom. I bought these for vacation to go with the Lime Green Sao Paolo top. Look very cute, and dressier than just a tee and jeans.\""Love me some Dunner !\""""}, {""review_2""=>""This top is so comfortable and flattering. I get compliments on how good I look wearing it!""}, {""review_3""=>""Comfortable and lightweight material for summer wear. Love the button accent.""}, {""review_4""=>""I was disappointed in the quality upon closer inspection at home.""}, {""review_5""=>""I love Alfred Dunner pants and capris. These have more room in the hip and thigh area than other brands. I can wear a size 10 instead of a 12 because of this.""}, {""review_6""=>""The color and pattern is so summery, and the shape flatters my figure.""}, {""review_7""=>""These Capris are so comfortable and fit great on me as I am a plus size. They are also nice enough to wear at my office.""}]}"
9e6a99f8c18f0f17f7ec23931205245f,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,,,34.8143,sale,jcpenney|women|specialty-sizing|petites|sale,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-feels-like-spring-short-sleeve-diamond-print-top-or-capris/prod.jump?ppId=ens6006720032&catId=cat100590235&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-sale-clearance/sale/multi/_/N-1nvzx7Z1z141ho/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031270M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,7,"{""review""=>[{""review_1""=>""These capris are very comfortable, with just the right amount of spandex for stretch. I love the cute cuff on the bottom. I bought these for vacation to go with the Lime Green Sao Paolo top. Look very cute, and dressier than just a tee and jeans.\""Love me some Dunner !\""""}, {""review_2""=>""This top is so comfortable and flattering. I get compliments on how good I look wearing it!""}, {""review_3""=>""Comfortable and lightweight material for summer wear. Love the button accent.""}, {""review_4""=>""I was disappointed in the quality upon closer inspection at home.""}, {""review_5""=>""I love Alfred Dunner pants and capris. These have more room in the hip and thigh area than other brands. I can wear a size 10 instead of a 12 because of this.""}, {""review_6""=>""The color and pattern is so summery, and the shape flatters my figure.""}, {""review_7""=>""These Capris are so comfortable and fit great on me as I am a plus size. They are also nice enough to wear at my office.""}]}"
c5b7ae1349832bdd38a0de291472821f,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,,,34.8143,sale,jcpenney|women|specialty-sizing|petites|sale,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-feels-like-spring-short-sleeve-diamond-print-top-or-capris/prod.jump?ppId=ens6006720032&catId=cat100590235&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-sale-clearance/sale/relaxed/_/N-1nvzx7Z1z140wb/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031270M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,7,"{""review""=>[{""review_1""=>""These capris are very comfortable, with just the right amount of spandex for stretch. I love the cute cuff on the bottom. I bought these for vacation to go with the Lime Green Sao Paolo top. Look very cute, and dressier than just a tee and jeans.\""Love me some Dunner !\""""}, {""review_2""=>""This top is so comfortable and flattering. I get compliments on how good I look wearing it!""}, {""review_3""=>""Comfortable and lightweight material for summer wear. Love the button accent.""}, {""review_4""=>""I was disappointed in the quality upon closer inspection at home.""}, {""review_5""=>""I love Alfred Dunner pants and capris. These have more room in the hip and thigh area than other brands. I can wear a size 10 instead of a 12 because of this.""}, {""review_6""=>""The color and pattern is so summery, and the shape flatters my figure.""}, {""review_7""=>""These Capris are so comfortable and fit great on me as I am a plus size. They are also nice enough to wear at my office.""}]}"
36f3fd5978ed6e8a87908a942bab3777,pp5006790548,Danny & Nicole® Sleeveless Lace Fit-and-Flare Dress,"Featuring mixed fabrics and a figure-flattering silhouette, our sleeveless lace fit-and-flare dress is anything but ordinary. scoopneck back zip 40"" length from shoulder cotton/nylon/polyester/spandex polyester lining hand wash, line dry imported",87.02,48.33,lace dresses,jcpenney|women|lace dresses,5 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-lace-fit-and-flare-dress/prod.jump?ppId=pp5006790548&catId=cat1002520005&&_dyncharset=UTF-8&urlState=/women/shop-clothing/dresses/lace-dresses/black/_/N-gkvhdxZ12z/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0302201617032873M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole,2,"{""review""=>[{""review_1""=>""This is beautiful. It fit fantastic and flatters my curves. Highly recommend.""}, {""review_2""=>""Purchased this dress for my daughter who is a size 8 its very pretty and flattering for the figure""}]}"
fe031e524ec46b8654c581b11d9bffc1,pp5007090115,Danny & Nicole® Sleeveless Lace Fit-and-Flare Dress,"Elegant and flattering, you'll love showing off in our lace fit-and-flare dress. scoopneck back zipper sleeveless 37½"" length from shoulder nylon/cotton polyester lining hand wash, line dry imported",87.02,60.42,dresses,jcpenney|women|dresses,5 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-lace-fit-and-flare-dress/prod.jump?ppId=pp5007090115&catId=cat100210008&&_dyncharset=UTF-8&urlState=/women/shop-clothing/dresses/scroll/_/N-1nnujcZ1z141i4/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0406201617043640M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole,,"{""review""=>{""review_1""=>""I purchased this dress for my bridal shower and it is perfect. I love the color and cut. Very flattering.""}}"
0e4defab33c9938ea1d39db83ace7ed3,pp5007010088,Danny & Nicole® Sleeveless Lace Vertical Seam Fit-and-Flare Dress,"Look darling in our sleeveless lace fit-and-flare dress, perfect for all your warm-weather gatherings. roundneck sleeveless exposed back zipper 38"" length from shoulder lined lace polyester hand wash, line dry imported",87.02,60.42,church dresses,jcpenney|women|church dresses,5 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-lace-vertical-seam-fit-and-flare-dress/prod.jump?ppId=pp5007010088&catId=cat1005030100&&_dyncharset=UTF-8&urlState=/women/hidden-categories/church-dresses/lace/_/N-gmda6sZ1z141lg/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0329201617030422M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole,4,"{""review""=>[{""review_1""=>""I love this dress! At first, I wasn't sure about the nude lining, which you can see, through the lace. But it's perfect! Fits well and flows great. I'll be wearing it to a wedding at the shore in August. Couldn't have asked for a better dress.""}, {""review_2""=>""The dress fits perfectly and looks as it was pictured. I love the color of the lace with the beige underlay. I plan to wear it to my granddaughters wedding with beige lace flats and carry a beige half sweater in case I need something on my arms. Love it!!!""}, {""review_3""=>""I purchased this for my daughter to wear under her graduation robe. She love it the moment she tried it on.....""}, {""review_4""=>""Love the color, love the design, love the feel of the dress. A simply lovely dress.""}]}"
